payment_id,payment_datetime,method,order_datetime,type,order_id,table_id,menu_item_id,menu_item_name,Menu_Category,menu_category_id,price,Items_Sold,Revenue,recipe_id,recipe_name,inventory_used,total,table_status
P00515,10/05/2025,Online,10/05/2025,Delivery,O00515,T50,M015,Menu Item M015,Appetizer,2,14.4,4,57.59,R005,Recipe R005,Cheese - 50g; Rice - 150g; Salt - 5g,57.59,dirty
P00516,10/05/2025,Online,10/05/2025,Delivery,O00516,T49,M016,Menu Item M016,Main Course,3,27.45,4,109.8,R006,Recipe R006,Sugar - 10g,109.8,dirty
P00517,10/05/2025,Online,10/05/2025,Delivery,O00517,T98,M017,Menu Item M017,Appetizer,2,13.07,3,39.22,R007,Recipe R007,Rice - 150g,39.22,reserved
P00518,10/05/2025,Credit Card,10/05/2025,Takeout,O00518,T67,M018,Menu Item M018,Dessert,1,7.7,4,30.78,R008,Recipe R008,Beef - 250g,30.78,reserved
P00519,10/05/2025,Cash,10/05/2025,Dine-in,O00519,T10,M019,Menu Item M019,Dessert,1,9.38,1,9.38,R009,Recipe R009,Cheese - 50g,9.38,dirty
P00520,10/05/2025,Cash,10/05/2025,Dine-in,O00520,T10,M020,Menu Item M020,Main Course,3,37.78,1,37.78,R010,Recipe R010,Sugar - 10g; Salt - 5g; Chicken - 200g,37.78,reserved
P00521,10/05/2025,Cash,10/05/2025,Dine-in,O00521,T10,M001,Menu Item M001,Appetizer,2,10.95,3,32.84,R011,Recipe R011,Butter - 20g; Tomato - 100g; Beef - 250g,32.84,dirty
P00522,10/05/2025,Cash,10/05/2025,Dine-in,O00522,T10,M002,Menu Item M002,Beverage,4,4.57,3,13.7,R012,Recipe R012,Lettuce - 30g,13.7,dirty
P00523,10/05/2025,Cash,10/05/2025,Dine-in,O00523,T10,M003,Menu Item M003,Dessert,1,5.99,2,11.98,R013,Recipe R013,Tomato - 100g,11.98,available
P00524,10/05/2025,Online,10/05/2025,Delivery,O00524,T79,M004,Menu Item M004,Dessert,1,9.02,1,9.02,R014,Recipe R014,Chicken - 200g,9.02,reserved
P00525,10/05/2025,Online,10/05/2025,Delivery,O00525,T91,M005,Menu Item M005,Main Course,3,30.95,1,30.95,R015,Recipe R015,Cheese - 50g; Butter - 20g,30.95,dirty
P00526,10/05/2025,Credit Card,10/05/2025,Takeout,O00526,T80,M006,Menu Item M006,Dessert,1,6.5,1,6.5,R001,Recipe R001,Rice - 150g; Beef - 250g; Lettuce - 30g,6.5,dirty
P00527,10/05/2025,Credit Card,10/05/2025,Takeout,O00527,T47,M007,Menu Item M007,Appetizer,2,10.9,4,43.61,R002,Recipe R002,Eggs - 2pcs; Tomato - 100g; Lettuce - 30g,43.61,reserved
P00528,10/05/2025,Cash,10/05/2025,Dine-in,O00528,T10,M008,Menu Item M008,Appetizer,2,12.13,3,36.39,R003,Recipe R003,Butter - 20g; Milk - 200ml; Eggs - 2pcs,36.39,available
P00529,11/05/2025,Cash,11/05/2025,Dine-in,O00529,T10,M009,Menu Item M009,Appetizer,2,6.86,1,6.86,R004,Recipe R004,Flour - 100g; Beef - 250g; Sugar - 10g,6.86,available
P00530,11/05/2025,Credit Card,11/05/2025,Takeout,O00530,T21,M010,Menu Item M010,Dessert,1,4.75,4,19,R005,Recipe R005,Beef - 250g; Flour - 100g,19,dirty
P00531,11/05/2025,Credit Card,11/05/2025,Takeout,O00531,T30,M011,Menu Item M011,Appetizer,2,8.54,1,8.54,R006,Recipe R006,Chicken - 200g; Eggs - 2pcs; Beef - 250g,8.54,reserved
P00532,11/05/2025,Online,11/05/2025,Delivery,O00532,T95,M012,Menu Item M012,Beverage,4,6.71,1,6.71,R007,Recipe R007,Cheese - 50g; Sugar - 10g; Chicken - 200g,6.71,available
P00533,11/05/2025,Online,11/05/2025,Delivery,O00533,T26,M013,Menu Item M013,Appetizer,2,8.93,1,8.93,R008,Recipe R008,Lettuce - 30g,8.93,reserved
P00534,11/05/2025,Online,11/05/2025,Delivery,O00534,T43,M014,Menu Item M014,Main Course,3,36.47,3,109.41,R009,Recipe R009,Eggs - 2pcs,109.41,reserved
P00535,11/05/2025,Credit Card,11/05/2025,Takeout,O00535,T85,M015,Menu Item M015,Appetizer,2,11.74,3,35.21,R010,Recipe R010,Eggs - 2pcs,35.21,dirty
P00536,11/05/2025,Cash,11/05/2025,Dine-in,O00536,T10,M016,Menu Item M016,Appetizer,2,5.02,3,15.06,R011,Recipe R011,Tomato - 100g; Lettuce - 30g; Salt - 5g,15.06,available
P00537,11/05/2025,Cash,11/05/2025,Dine-in,O00537,T10,M017,Menu Item M017,Appetizer,2,5.19,2,10.38,R012,Recipe R012,Cheese - 50g,10.38,dirty
P00538,11/05/2025,Cash,11/05/2025,Dine-in,O00538,T10,M018,Menu Item M018,Beverage,4,3.23,3,9.68,R013,Recipe R013,Butter - 20g,9.68,available
P00539,11/05/2025,Cash,11/05/2025,Dine-in,O00539,T10,M019,Menu Item M019,Main Course,3,20.49,3,61.47,R014,Recipe R014,Milk - 200ml; Cheese - 50g; Chicken - 200g,61.47,available
P00540,11/05/2025,Credit Card,11/05/2025,Takeout,O00540,T62,M020,Menu Item M020,Dessert,1,7.88,1,7.88,R015,Recipe R015,Lettuce - 30g; Sugar - 10g; Flour - 100g,7.88,available
P00541,11/05/2025,Cash,11/05/2025,Dine-in,O00541,T10,M001,Menu Item M001,Main Course,3,36.76,2,73.53,R001,Recipe R001,Tomato - 100g,73.53,available
P00542,11/05/2025,Cash,11/05/2025,Dine-in,O00542,T10,M002,Menu Item M002,Appetizer,2,6.17,1,6.17,R002,Recipe R002,Salt - 5g,6.17,available
P00543,11/05/2025,Cash,11/05/2025,Dine-in,O00543,T10,M003,Menu Item M003,Appetizer,2,13.96,2,27.91,R003,Recipe R003,Flour - 100g; Milk - 200ml; Lettuce - 30g,27.91,reserved
P00544,11/05/2025,Cash,11/05/2025,Dine-in,O00544,T10,M004,Menu Item M004,Appetizer,2,5.69,3,17.07,R004,Recipe R004,Eggs - 2pcs; Salt - 5g; Cheese - 50g,17.07,dirty
P00545,11/05/2025,Credit Card,11/05/2025,Takeout,O00545,T44,M005,Menu Item M005,Beverage,4,6.18,4,24.72,R005,Recipe R005,Cheese - 50g; Tomato - 100g,24.72,reserved
P00546,11/05/2025,Online,11/05/2025,Delivery,O00546,T42,M006,Menu Item M006,Beverage,4,4.26,1,4.26,R006,Recipe R006,Butter - 20g; Eggs - 2pcs; Salt - 5g,4.26,available
P00547,11/05/2025,Cash,11/05/2025,Dine-in,O00547,T10,M007,Menu Item M007,Main Course,3,26.66,1,26.66,R007,Recipe R007,Milk - 200ml,26.66,dirty
P00548,11/05/2025,Online,11/05/2025,Delivery,O00548,T24,M008,Menu Item M008,Dessert,1,9.14,4,36.57,R008,Recipe R008,Butter - 20g; Eggs - 2pcs; Milk - 200ml,36.57,available
P00549,11/05/2025,Credit Card,11/05/2025,Takeout,O00549,T39,M009,Menu Item M009,Beverage,4,3.88,3,11.63,R009,Recipe R009,Chicken - 200g; Lettuce - 30g,11.63,dirty
P00550,11/05/2025,Online,11/05/2025,Delivery,O00550,T53,M010,Menu Item M010,Dessert,1,5.25,4,20.99,R010,Recipe R010,Eggs - 2pcs; Chicken - 200g,20.99,reserved
P00551,11/05/2025,Cash,11/05/2025,Dine-in,O00551,T10,M011,Menu Item M011,Beverage,4,5.61,4,22.45,R011,Recipe R011,Flour - 100g,22.45,dirty
P00552,11/05/2025,Credit Card,11/05/2025,Takeout,O00552,T24,M012,Menu Item M012,Dessert,1,7.63,4,30.53,R012,Recipe R012,Beef - 250g,30.53,dirty
P00553,11/05/2025,Cash,11/05/2025,Dine-in,O00553,T10,M013,Menu Item M013,Beverage,4,5.84,2,11.67,R013,Recipe R013,Flour - 100g,11.67,dirty
P00554,11/05/2025,Credit Card,11/05/2025,Takeout,O00554,T41,M014,Menu Item M014,Appetizer,2,12.52,4,50.07,R014,Recipe R014,Chicken - 200g; Lettuce - 30g; Sugar - 10g,50.07,dirty
P00555,11/05/2025,Credit Card,11/05/2025,Takeout,O00555,T79,M015,Menu Item M015,Beverage,4,6.45,4,25.81,R015,Recipe R015,Sugar - 10g; Eggs - 2pcs; Butter - 20g,25.81,dirty
P00556,11/05/2025,Online,11/05/2025,Delivery,O00556,T58,M016,Menu Item M016,Appetizer,2,12.59,4,50.35,R001,Recipe R001,Chicken - 200g; Flour - 100g,50.35,available
P00557,11/05/2025,Credit Card,11/05/2025,Takeout,O00557,T81,M017,Menu Item M017,Main Course,3,26.85,2,53.7,R002,Recipe R002,Beef - 250g,53.7,dirty
P00558,11/05/2025,Cash,11/05/2025,Dine-in,O00558,T10,M018,Menu Item M018,Dessert,1,5.97,1,5.97,R003,Recipe R003,Salt - 5g,5.97,dirty
P00559,11/05/2025,Credit Card,11/05/2025,Takeout,O00559,T51,M019,Menu Item M019,Dessert,1,5.68,4,22.72,R004,Recipe R004,Tomato - 100g; Milk - 200ml; Salt - 5g,22.72,reserved
P00560,11/05/2025,Credit Card,11/05/2025,Takeout,O00560,T56,M020,Menu Item M020,Beverage,4,6.7,1,6.7,R005,Recipe R005,Cheese - 50g; Butter - 20g; Milk - 200ml,6.7,dirty
P00561,11/05/2025,Credit Card,11/05/2025,Takeout,O00561,T26,M001,Menu Item M001,Appetizer,2,7.7,2,15.39,R006,Recipe R006,Lettuce - 30g; Milk - 200ml; Chicken - 200g,15.39,reserved
P00562,11/05/2025,Credit Card,11/05/2025,Takeout,O00562,T20,M002,Menu Item M002,Main Course,3,35.38,2,70.75,R007,Recipe R007,Beef - 250g,70.75,available
P00563,11/05/2025,Cash,11/05/2025,Dine-in,O00563,T10,M003,Menu Item M003,Beverage,4,2.15,2,4.31,R008,Recipe R008,Tomato - 100g,4.31,dirty
P00564,11/05/2025,Cash,11/05/2025,Dine-in,O00564,T10,M004,Menu Item M004,Main Course,3,21.08,1,21.08,R009,Recipe R009,Lettuce - 30g; Sugar - 10g,21.08,reserved
P00565,11/05/2025,Credit Card,11/05/2025,Takeout,O00565,T53,M005,Menu Item M005,Main Course,3,37.2,1,37.2,R010,Recipe R010,Sugar - 10g; Chicken - 200g,37.2,reserved
P00566,11/05/2025,Online,11/05/2025,Delivery,O00566,T12,M006,Menu Item M006,Main Course,3,21.22,2,42.45,R011,Recipe R011,Eggs - 2pcs; Cheese - 50g; Flour - 100g,42.45,available
P00567,11/05/2025,Cash,11/05/2025,Dine-in,O00567,T10,M007,Menu Item M007,Beverage,4,6.29,4,25.16,R012,Recipe R012,Milk - 200ml; Salt - 5g; Tomato - 100g,25.16,dirty
P00568,11/05/2025,Online,11/05/2025,Delivery,O00568,T31,M008,Menu Item M008,Dessert,1,3.91,3,11.73,R013,Recipe R013,Milk - 200ml; Chicken - 200g; Butter - 20g,11.73,dirty
P00569,11/05/2025,Cash,11/05/2025,Dine-in,O00569,T10,M009,Menu Item M009,Dessert,1,7.58,2,15.16,R014,Recipe R014,Butter - 20g; Eggs - 2pcs,15.16,reserved
P00570,11/05/2025,Cash,11/05/2025,Dine-in,O00570,T10,M010,Menu Item M010,Main Course,3,34.06,4,136.23,R015,Recipe R015,Sugar - 10g; Salt - 5g; Rice - 150g,136.23,dirty
P00571,11/05/2025,Credit Card,11/05/2025,Takeout,O00571,T40,M011,Menu Item M011,Dessert,1,7.11,3,21.33,R001,Recipe R001,Butter - 20g; Cheese - 50g; Tomato - 100g,21.33,reserved
P00572,11/05/2025,Online,11/05/2025,Delivery,O00572,T13,M012,Menu Item M012,Dessert,1,5.72,3,17.17,R002,Recipe R002,Beef - 250g,17.17,dirty
P00573,11/05/2025,Credit Card,11/05/2025,Takeout,O00573,T84,M013,Menu Item M013,Beverage,4,3.06,3,9.17,R003,Recipe R003,Sugar - 10g; Rice - 150g,9.17,reserved
P00574,11/05/2025,Online,11/05/2025,Delivery,O00574,T35,M014,Menu Item M014,Beverage,4,4.96,2,9.93,R004,Recipe R004,Beef - 250g; Eggs - 2pcs,9.93,dirty
P00575,11/05/2025,Cash,11/05/2025,Dine-in,O00575,T10,M015,Menu Item M015,Dessert,1,5.61,1,5.61,R005,Recipe R005,Lettuce - 30g; Milk - 200ml; Chicken - 200g,5.61,available
P00576,11/05/2025,Cash,11/05/2025,Dine-in,O00576,T10,M016,Menu Item M016,Appetizer,2,11.91,3,35.73,R006,Recipe R006,Eggs - 2pcs; Lettuce - 30g,35.73,dirty
P00577,11/05/2025,Cash,11/05/2025,Dine-in,O00577,T10,M017,Menu Item M017,Beverage,4,4.28,3,12.83,R007,Recipe R007,Beef - 250g; Flour - 100g; Chicken - 200g,12.83,dirty
P00578,11/05/2025,Credit Card,11/05/2025,Takeout,O00578,T30,M018,Menu Item M018,Appetizer,2,6.7,2,13.39,R008,Recipe R008,Tomato - 100g; Lettuce - 30g; Chicken - 200g,13.39,available
P00579,11/05/2025,Credit Card,11/05/2025,Takeout,O00579,T37,M019,Menu Item M019,Beverage,4,4.44,4,17.77,R009,Recipe R009,Lettuce - 30g; Salt - 5g; Sugar - 10g,17.77,dirty
P00580,11/05/2025,Credit Card,11/05/2025,Takeout,O00580,T33,M020,Menu Item M020,Appetizer,2,10.72,2,21.45,R010,Recipe R010,Salt - 5g,21.45,available
P00581,11/05/2025,Credit Card,11/05/2025,Takeout,O00581,T07,M001,Menu Item M001,Beverage,4,2.42,3,7.27,R011,Recipe R011,Cheese - 50g; Salt - 5g,7.27,dirty
P00582,11/05/2025,Credit Card,11/05/2025,Takeout,O00582,T46,M002,Menu Item M002,Beverage,4,6.31,3,18.94,R012,Recipe R012,Beef - 250g; Flour - 100g; Sugar - 10g,18.94,reserved
P00583,11/05/2025,Online,11/05/2025,Delivery,O00583,T70,M003,Menu Item M003,Beverage,4,6.99,3,20.96,R013,Recipe R013,Rice - 150g; Chicken - 200g; Beef - 250g,20.96,reserved
P00584,11/05/2025,Cash,11/05/2025,Dine-in,O00584,T10,M004,Menu Item M004,Main Course,3,39.33,1,39.33,R014,Recipe R014,Butter - 20g,39.33,dirty
P00585,11/05/2025,Cash,11/05/2025,Dine-in,O00585,T10,M005,Menu Item M005,Beverage,4,6.26,4,25.05,R015,Recipe R015,Tomato - 100g; Lettuce - 30g; Sugar - 10g,25.05,dirty
P00586,11/05/2025,Online,11/05/2025,Delivery,O00586,T83,M006,Menu Item M006,Dessert,1,4.47,2,8.95,R001,Recipe R001,Sugar - 10g; Flour - 100g,8.95,dirty
P00587,11/05/2025,Credit Card,11/05/2025,Takeout,O00587,T88,M007,Menu Item M007,Main Course,3,19.19,4,76.75,R002,Recipe R002,Rice - 150g; Sugar - 10g; Cheese - 50g,76.75,reserved
P00588,11/05/2025,Online,11/05/2025,Delivery,O00588,T100,M008,Menu Item M008,Beverage,4,3.63,4,14.53,R003,Recipe R003,Butter - 20g,14.53,dirty
P00589,11/05/2025,Cash,11/05/2025,Dine-in,O00589,T10,M009,Menu Item M009,Main Course,3,21.41,4,85.65,R004,Recipe R004,Tomato - 100g,85.65,reserved
P00590,11/05/2025,Cash,11/05/2025,Dine-in,O00590,T10,M010,Menu Item M010,Appetizer,2,13.09,2,26.18,R005,Recipe R005,Tomato - 100g; Cheese - 50g; Rice - 150g,26.18,available
P00591,11/05/2025,Cash,11/05/2025,Dine-in,O00591,T10,M011,Menu Item M011,Dessert,1,6.94,2,13.89,R006,Recipe R006,Flour - 100g; Eggs - 2pcs,13.89,reserved
P00592,11/05/2025,Cash,11/05/2025,Dine-in,O00592,T10,M012,Menu Item M012,Main Course,3,18.6,2,37.2,R007,Recipe R007,Rice - 150g; Tomato - 100g,37.2,reserved
P00593,11/05/2025,Credit Card,11/05/2025,Takeout,O00593,T94,M013,Menu Item M013,Appetizer,2,9.6,1,9.6,R008,Recipe R008,Lettuce - 30g; Sugar - 10g; Cheese - 50g,9.6,available
P00594,11/05/2025,Credit Card,11/05/2025,Takeout,O00594,T13,M014,Menu Item M014,Appetizer,2,12.25,2,24.5,R009,Recipe R009,Milk - 200ml,24.5,reserved
P00595,11/05/2025,Online,11/05/2025,Delivery,O00595,T36,M015,Menu Item M015,Dessert,1,9.93,3,29.78,R010,Recipe R010,Rice - 150g; Milk - 200ml; Lettuce - 30g,29.78,dirty
P00596,11/05/2025,Cash,11/05/2025,Dine-in,O00596,T10,M016,Menu Item M016,Dessert,1,6.45,1,6.45,R011,Recipe R011,Butter - 20g; Milk - 200ml; Lettuce - 30g,6.45,dirty
P00597,11/05/2025,Online,11/05/2025,Delivery,O00597,T25,M017,Menu Item M017,Dessert,1,5.3,1,5.3,R012,Recipe R012,Eggs - 2pcs; Sugar - 10g; Flour - 100g,5.3,reserved
P00598,11/05/2025,Online,11/05/2025,Delivery,O00598,T88,M018,Menu Item M018,Main Course,3,38.78,4,155.14,R013,Recipe R013,Butter - 20g; Rice - 150g; Salt - 5g,155.14,dirty
P00599,12/05/2025,Online,12/05/2025,Delivery,O00599,T83,M019,Menu Item M019,Main Course,3,38.31,4,153.23,R014,Recipe R014,Chicken - 200g,153.23,reserved
P00600,12/05/2025,Cash,12/05/2025,Dine-in,O00600,T10,M020,Menu Item M020,Beverage,4,4.03,4,16.13,R015,Recipe R015,Milk - 200ml,16.13,dirty
P00601,12/05/2025,Online,12/05/2025,Delivery,O00601,T18,M001,Menu Item M001,Beverage,4,5.93,1,5.93,R001,Recipe R001,Eggs - 2pcs,5.93,dirty
P00602,12/05/2025,Cash,12/05/2025,Dine-in,O00602,T10,M002,Menu Item M002,Main Course,3,23.44,3,70.31,R002,Recipe R002,Salt - 5g; Milk - 200ml; Eggs - 2pcs,70.31,reserved
P00603,12/05/2025,Cash,12/05/2025,Dine-in,O00603,T10,M003,Menu Item M003,Beverage,4,4.61,1,4.61,R003,Recipe R003,Chicken - 200g; Cheese - 50g; Butter - 20g,4.61,dirty
P00604,12/05/2025,Credit Card,12/05/2025,Takeout,O00604,T55,M004,Menu Item M004,Beverage,4,3.88,1,3.88,R004,Recipe R004,Sugar - 10g; Eggs - 2pcs,3.88,reserved
P00605,12/05/2025,Cash,12/05/2025,Dine-in,O00605,T10,M005,Menu Item M005,Beverage,4,3.19,1,3.19,R005,Recipe R005,Flour - 100g; Cheese - 50g; Milk - 200ml,3.19,dirty
P00606,12/05/2025,Online,12/05/2025,Delivery,O00606,T92,M006,Menu Item M006,Dessert,1,8.5,2,17,R006,Recipe R006,Butter - 20g,17,dirty
P00607,12/05/2025,Cash,12/05/2025,Dine-in,O00607,T10,M007,Menu Item M007,Beverage,4,4.56,1,4.56,R007,Recipe R007,Tomato - 100g; Sugar - 10g; Eggs - 2pcs,4.56,available
P00608,12/05/2025,Online,12/05/2025,Delivery,O00608,T89,M008,Menu Item M008,Appetizer,2,8.76,4,35.03,R008,Recipe R008,Beef - 250g; Cheese - 50g,35.03,available
P00609,12/05/2025,Online,12/05/2025,Delivery,O00609,T49,M009,Menu Item M009,Beverage,4,4.34,3,13.02,R009,Recipe R009,Rice - 150g; Eggs - 2pcs; Salt - 5g,13.02,reserved
P00610,12/05/2025,Online,12/05/2025,Delivery,O00610,T40,M010,Menu Item M010,Appetizer,2,11.26,3,33.79,R010,Recipe R010,Rice - 150g,33.79,available
P00611,12/05/2025,Online,12/05/2025,Delivery,O00611,T76,M011,Menu Item M011,Beverage,4,4.33,3,12.99,R011,Recipe R011,Beef - 250g; Cheese - 50g,12.99,reserved
P00612,12/05/2025,Online,12/05/2025,Delivery,O00612,T17,M012,Menu Item M012,Appetizer,2,6.89,1,6.89,R012,Recipe R012,Rice - 150g,6.89,available
P00613,12/05/2025,Cash,12/05/2025,Dine-in,O00613,T10,M013,Menu Item M013,Dessert,1,4.48,3,13.43,R013,Recipe R013,Sugar - 10g; Rice - 150g; Tomato - 100g,13.43,dirty
P00614,12/05/2025,Online,12/05/2025,Delivery,O00614,T68,M014,Menu Item M014,Beverage,4,5.75,3,17.24,R014,Recipe R014,Cheese - 50g; Flour - 100g,17.24,reserved
P00615,12/05/2025,Credit Card,12/05/2025,Takeout,O00615,T95,M015,Menu Item M015,Beverage,4,3.66,1,3.66,R015,Recipe R015,Sugar - 10g; Rice - 150g; Beef - 250g,3.66,reserved
P00616,12/05/2025,Cash,12/05/2025,Dine-in,O00616,T10,M016,Menu Item M016,Beverage,4,2.96,3,8.88,R001,Recipe R001,Salt - 5g; Eggs - 2pcs,8.88,dirty
P00617,12/05/2025,Cash,12/05/2025,Dine-in,O00617,T10,M017,Menu Item M017,Main Course,3,27.66,3,82.97,R002,Recipe R002,Lettuce - 30g; Chicken - 200g; Cheese - 50g,82.97,reserved
P00618,12/05/2025,Cash,12/05/2025,Dine-in,O00618,T10,M018,Menu Item M018,Appetizer,2,11.78,4,47.12,R003,Recipe R003,Cheese - 50g; Eggs - 2pcs; Lettuce - 30g,47.12,reserved
P00619,12/05/2025,Online,12/05/2025,Delivery,O00619,T87,M019,Menu Item M019,Beverage,4,2.44,3,7.33,R004,Recipe R004,Sugar - 10g; Milk - 200ml; Flour - 100g,7.33,available
P00620,12/05/2025,Online,12/05/2025,Delivery,O00620,T65,M020,Menu Item M020,Appetizer,2,14.85,3,44.55,R005,Recipe R005,Lettuce - 30g,44.55,reserved
P00621,12/05/2025,Cash,12/05/2025,Dine-in,O00621,T10,M001,Menu Item M001,Dessert,1,5.39,4,21.56,R006,Recipe R006,Sugar - 10g; Eggs - 2pcs; Flour - 100g,21.56,dirty
P00622,12/05/2025,Online,12/05/2025,Delivery,O00622,T66,M002,Menu Item M002,Dessert,1,9.34,2,18.67,R007,Recipe R007,Eggs - 2pcs,18.67,available
P00623,12/05/2025,Cash,12/05/2025,Dine-in,O00623,T10,M003,Menu Item M003,Dessert,1,9.59,3,28.77,R008,Recipe R008,Sugar - 10g; Milk - 200ml,28.77,available
P00624,12/05/2025,Credit Card,12/05/2025,Takeout,O00624,T13,M004,Menu Item M004,Appetizer,2,7.49,1,7.49,R009,Recipe R009,Butter - 20g; Flour - 100g; Cheese - 50g,7.49,dirty
P00625,12/05/2025,Online,12/05/2025,Delivery,O00625,T60,M005,Menu Item M005,Beverage,4,5.65,3,16.95,R010,Recipe R010,Eggs - 2pcs; Lettuce - 30g,16.95,dirty
P00626,12/05/2025,Online,12/05/2025,Delivery,O00626,T47,M006,Menu Item M006,Appetizer,2,13.63,1,13.63,R011,Recipe R011,Lettuce - 30g; Tomato - 100g,13.63,available
P00627,12/05/2025,Cash,12/05/2025,Dine-in,O00627,T10,M007,Menu Item M007,Appetizer,2,14.5,3,43.5,R012,Recipe R012,Tomato - 100g; Butter - 20g,43.5,reserved
P00628,12/05/2025,Credit Card,12/05/2025,Takeout,O00628,T31,M008,Menu Item M008,Main Course,3,16.13,1,16.13,R013,Recipe R013,Eggs - 2pcs; Milk - 200ml; Butter - 20g,16.13,available
P00629,12/05/2025,Credit Card,12/05/2025,Takeout,O00629,T02,M009,Menu Item M009,Appetizer,2,13.73,4,54.92,R014,Recipe R014,Tomato - 100g; Beef - 250g,54.92,dirty
P00630,12/05/2025,Credit Card,12/05/2025,Takeout,O00630,T61,M010,Menu Item M010,Beverage,4,2.49,1,2.49,R015,Recipe R015,Tomato - 100g; Cheese - 50g; Sugar - 10g,2.49,available
P00631,12/05/2025,Cash,12/05/2025,Dine-in,O00631,T10,M011,Menu Item M011,Appetizer,2,5.92,4,23.69,R001,Recipe R001,Eggs - 2pcs; Chicken - 200g; Salt - 5g,23.69,dirty
P00632,12/05/2025,Online,12/05/2025,Delivery,O00632,T55,M012,Menu Item M012,Beverage,4,6.36,4,25.46,R002,Recipe R002,Cheese - 50g; Sugar - 10g; Salt - 5g,25.46,available
P00633,12/05/2025,Online,12/05/2025,Delivery,O00633,T16,M013,Menu Item M013,Beverage,4,5.97,3,17.9,R003,Recipe R003,Tomato - 100g; Beef - 250g; Milk - 200ml,17.9,reserved
P00634,12/05/2025,Cash,12/05/2025,Dine-in,O00634,T10,M014,Menu Item M014,Main Course,3,18.61,1,18.61,R004,Recipe R004,Lettuce - 30g; Tomato - 100g; Rice - 150g,18.61,available
P00635,12/05/2025,Credit Card,12/05/2025,Takeout,O00635,T14,M015,Menu Item M015,Main Course,3,29.36,4,117.44,R005,Recipe R005,Sugar - 10g; Chicken - 200g; Eggs - 2pcs,117.44,available
P00636,12/05/2025,Online,12/05/2025,Delivery,O00636,T73,M016,Menu Item M016,Dessert,1,8.56,1,8.56,R006,Recipe R006,Lettuce - 30g,8.56,dirty
P00637,12/05/2025,Cash,12/05/2025,Dine-in,O00637,T10,M017,Menu Item M017,Main Course,3,35.86,2,71.73,R007,Recipe R007,Sugar - 10g,71.73,dirty
P00638,12/05/2025,Credit Card,12/05/2025,Takeout,O00638,T63,M018,Menu Item M018,Main Course,3,29.41,3,88.24,R008,Recipe R008,Milk - 200ml; Sugar - 10g; Eggs - 2pcs,88.24,dirty
P00639,12/05/2025,Cash,12/05/2025,Dine-in,O00639,T10,M019,Menu Item M019,Beverage,4,4.1,3,12.31,R009,Recipe R009,Beef - 250g,12.31,available
P00640,12/05/2025,Credit Card,12/05/2025,Takeout,O00640,T77,M020,Menu Item M020,Dessert,1,7.58,1,7.58,R010,Recipe R010,Milk - 200ml; Flour - 100g,7.58,reserved
P00641,12/05/2025,Cash,12/05/2025,Dine-in,O00641,T10,M001,Menu Item M001,Appetizer,2,13.45,2,26.9,R011,Recipe R011,Rice - 150g; Tomato - 100g,26.9,dirty
P00642,12/05/2025,Online,12/05/2025,Delivery,O00642,T23,M002,Menu Item M002,Dessert,1,4.62,4,18.48,R012,Recipe R012,Milk - 200ml; Beef - 250g; Lettuce - 30g,18.48,dirty
P00643,12/05/2025,Online,12/05/2025,Delivery,O00643,T25,M003,Menu Item M003,Beverage,4,6.81,4,27.25,R013,Recipe R013,Tomato - 100g,27.25,available
P00644,12/05/2025,Credit Card,12/05/2025,Takeout,O00644,T89,M004,Menu Item M004,Beverage,4,3.08,1,3.08,R014,Recipe R014,Chicken - 200g; Eggs - 2pcs,3.08,dirty
P00645,12/05/2025,Cash,12/05/2025,Dine-in,O00645,T10,M005,Menu Item M005,Beverage,4,3.1,3,9.3,R015,Recipe R015,Sugar - 10g; Butter - 20g,9.3,reserved
P00646,12/05/2025,Credit Card,12/05/2025,Takeout,O00646,T67,M006,Menu Item M006,Main Course,3,22.94,3,68.83,R001,Recipe R001,Butter - 20g,68.83,reserved
P00647,12/05/2025,Cash,12/05/2025,Dine-in,O00647,T10,M007,Menu Item M007,Main Course,3,26.62,4,106.46,R002,Recipe R002,Lettuce - 30g; Beef - 250g,106.46,dirty
P00648,12/05/2025,Cash,12/05/2025,Dine-in,O00648,T10,M008,Menu Item M008,Main Course,3,16.08,2,32.15,R003,Recipe R003,Milk - 200ml; Tomato - 100g; Beef - 250g,32.15,dirty
P00649,12/05/2025,Credit Card,12/05/2025,Takeout,O00649,T24,M009,Menu Item M009,Main Course,3,15.2,1,15.2,R004,Recipe R004,Milk - 200ml; Salt - 5g; Chicken - 200g,15.2,available
P00650,12/05/2025,Cash,12/05/2025,Dine-in,O00650,T10,M010,Menu Item M010,Appetizer,2,10,3,30.01,R005,Recipe R005,Eggs - 2pcs; Lettuce - 30g; Salt - 5g,30.01,reserved
P00651,12/05/2025,Cash,12/05/2025,Dine-in,O00651,T10,M011,Menu Item M011,Main Course,3,37.11,4,148.44,R006,Recipe R006,Lettuce - 30g,148.44,reserved
P00652,12/05/2025,Online,12/05/2025,Delivery,O00652,T42,M012,Menu Item M012,Beverage,4,6.28,4,25.14,R007,Recipe R007,Salt - 5g,25.14,dirty
P00653,12/05/2025,Online,12/05/2025,Delivery,O00653,T66,M013,Menu Item M013,Dessert,1,7.34,2,14.67,R008,Recipe R008,Cheese - 50g; Rice - 150g,14.67,available
